user,Company,projects,Comment
yahoo,,2,
metaborg,,2,
bengtmartensson,,2,
sensu,,2,
cyber-dojo,,2,
QuantConnect,,2,
horsicq,,2,
autopkg,,2,
opennode,,2,
mediathekview,,2,
icescrum,,2,
openmicroscopy,,2,
hmrc,,2,
meedan,,2,
PyCQA,,2,
mercadopago,,2,
igniterealtime,,2,
igvteam,,2,
ARM-software,,2,
ARPA-SIMC,,2,
ihmeuw,,2,
barberscore,,2,
openwrt,,2,
4dn-dcic,,2,
danger,,2,
b3dgs,,2,
axelpale,,2,
axelor,,2,
RNAcentral,,2,
zulip,,2,
http4s,,2,
openstates,,2,
24pullrequests,,2,
zstackio,,2,
hypothesis,,2,
cytoscape,,2,
RPCS3,,2,
zoff99,,2,
iDigBio,,2,
3drepo,,2,
opensds,,2,
iNZightVIT,,2,
3scale,,2,
openva,,2,
AVSystem,,2,
batazor,,2,
zaproxy,,2,
hazelcast,,2,
servo,,2,
Rapptz,,2,
beached,,2,
AnotherJohnH,,2,
osmocom,,2,
yiisoft,,2,
asdf2014,,2,
asdf-vm,,2,
PopulateTools,,2,
AdguardTeam,,2,
yasuyuky,,2,
opencb,,2,
input-output-hk,,2,
schul-cloud,,2,
ReactiveX,,2,
openbmc,,2,
openbase,,2,
Polymer,,2,
helm,,2,
os-autoinst,,2,
henrichg,,2,
inaturalist,,2,
orbitdb,,2,
atom,,2,
Adyen,,2,
orchestral,,2,
openfl,,2,
mbedmicro,,2,
imgag,,2,
heroku,,2,
yunity,,2,
imgix,,2,
Alexpux,,2,
Alfresco,,2,
yumimobi,,2,
hep-mirrors,,2,
servicosgovbr,,2,
openebs,,2,
yoxjs,,2,
wereHamster,,2,
wix,,2,
weka511,,2,
gbif,,2,
gdbtek,,2,
OpenHFT,,2,
ai,,2,
DigitalCampus,,2,
gchq,,2,
brianshumate,,2,
vert-x3,,2,
decidim,,2,
gatsbyjs,,2,
aimeos,,2,
sksamuel,,2,
OpenConext,,2,
OpenChemistry,,2,
johnbillion,,2,
vega,,2,
poldracklab,,2,
SMRUCC,,2,
brotherlogic,,2,
viant,,2,
ska-sa,,2,
node-red,,2,
vitruv-tools,,2,
DataDog,,2,
votca,,2,
akrherz,,2,
SCIP-Interfaces,,2,
vmware,,2,
OpenPLi,,2,
Debian,,2,
nschloe,,2,
DemocracyClub,,2,
plotly,,2,
brainworxx,,2,
sitespeedio,,2,
platformio,,2,
samlanh,,2,
mapcentia,,2,
vimeo,,2,
mapbender,,2,
airbnb,,2,
aequologica,,2,
joindin,,2,
DarvinStudio,,2,
desireco,,2,
nimble-platform,,2,
dernasherbrezon,,2,
buildkite,,2,
urbit,,2,
OWASP,,2,
s-takeuchi,,2,
OSGeo,,2,
OSEHRA,,2,
ONSdigital,,2,
Sage-Bionetworks,,2,
frappe,,2,
unity3d-jp,,2,
ONLYOFFICE,,2,
OHDSI,,2,
coq,,2,
devizer,,2,
processing,,2,
devotox,,2,
bugsnag,,2,
coreboot,,2,
OpenBazaar,,2,
OmniSharp,,2,
gaearon,,2,
miku,,2,
EFForg,,2,
no23reason,,2,
milesj,,2,
adrn,,2,
denispelli,,2,
joncampbell123,,2,
SUNET,,2,
joshukraine,,2,
coreyja,,2,
sacloud,,2,
stratis-storage,,2,
SUSE,,2,
adaptlearning,,2,
josdejong,,2,
josephsl,,2,
uw-it-aca,,2,
akveo,,2,
cloudify-cosmo,,2,
blokadaorg,,2,
bonigarcia,,2,
blackducksoftware,,2,
CompassionCH,,2,
jazztickets,,2,
marshmallow-code,,2,
odileeds,,2,
CyberReboot,,2,
ghiscoding,,2,
CyclopsMC,,2,
create3000,,2,
simonsdave,,2,
Codeception,,2,
phax,,2,
OxfamFairTrade,,2,
DIRACGrid,,2,
DBCDK,,2,
marklogic,,2,
phac-nml,,2,
nyaruka,,2,
RolandKujundzic,,2,
simpeg,,2,
ocadotechnology,,2,
jeremytammik,,2,
datosgobar,,2,
sass,,2,
philwareham,,2,
dcos,,2,
cozy,,2,
watchdogpolska,,2,
CloudSlang,,2,
perl6,,2,
bkaradzic,,2,
SAP,,2,
all-of-us,,2,
alisw,,2,
getsentry,,2,
box,,2,
mmgen,,1,
minbrowser,,1,
mjirik,,1,
merlos,,1,
mercycorps,,1,
mikutter,,1,
merenlab,,1,
mhoeher,,1,
mhawksey,,1,
merijn,,1,
mondora,,1,
milkcircle,,1,
mherbold,,1,
merchise-autrement,,1,
mikepenz,,1,
mkorpela,,1,
mlperf,,1,
ming-soft,,1,
miaomiaoqi,,1,
moonlight-stream,,1,
mooltipass,,1,
mlibrary,,1,
melpa,,1,
mimmi20,,1,
mimecuvalo,,1,
micahwoods,,1,
mini2Dx,,1,
mlomb,,1,
mennowo,,1,
mlhartme,,1,
moodpulse,,1,
millejoh,,1,
michellab,,1,
mholling,,1,
moodlehq,,1,
moodle,,1,
mlaursen,,1,
michpolicht,,1,
mickleness,,1,
mhogrefe,,1,
meolu,,1,
micolous,,1,
mlund,,1,
monnaie-valheureux,,1,
monicahq,,1,
merbanan,,1,
molpopgen,,1,
monarch-initiative,,1,
mit-crpg,,1,
mirkosertic,,1,
mit-plv,,1,
mgba-emu,,1,
miroi,,1,
micahflee,,1,
mikeakohn,,1,
mndarren,,1,
mikedeboer,,1,
mevdschee,,1,
moddevices,,1,
mockito,,1,
mockingbirdnest,,1,
metamath,,1,
mikewongtkd,,1,
mikolalysenko,,1,
mne-tools,,1,
mit-cml,,1,
mikeshardmind,,1,
mneuroth,,1,
mikedh,,1,
metasploit,,1,
metatron-app,,1,
mirror,,1,
mikeireland,,1,
mochajs,,1,
metosin,,1,
moby,,1,
metomi,,1,
mike-levenick,,1,
modelblocks,,1,
mirko-pagliai,,1,
modernish,,1,
microhh,,1,
mitmproxy,,1,
